BASE_CCY_AMT,FNCT_CCY_AMT,TXN_CCY_AMT,IB_FLAG,TXN_CCY,OPER_DPST_FLAG,LV_DMC_CTRY,FRS_ACCOUNT_CLASS,ACCT_TYP,ACTG_UNIT_NM,ROW_SRC_IND,REC_TYP,ARRG_MAT_TYP_CD,Outliers,Outliers_2
-1216112.5,-1216112.5,-1216112.5,0,30,0,35,0,0,19,1,1,0,0,0
10000,10000,10000,0,30,0,35,0,0,19,1,1,0,0,0
-5182840.53,-5182840.53,-5182840.53,0,30,0,3,0,0,19,1,1,0,0,0
22706315,22706315,22706315,0,30,0,35,0,0,19,1,1,0,0,0
3668926.73,3668926.73,3668926.73,0,30,0,3,0,0,19,1,1,0,0,0
-235794379.9,-235794379.9,-217111900.8,0,10,0,35,0,0,19,1,1,0,0,0
667519,667519,667519,0,30,0,35,0,0,19,1,1,0,0,0
-50936704,-50936704,-50936704,0,30,0,35,0,0,19,1,1,0,0,0
88626.71,88626.71,88626.71,0,30,0,35,0,0,19,1,1,0,0,0
180180,180180,180180,0,30,0,35,0,0,19,1,1,0,0,0
-5,-5,-5,0,30,0,35,0,0,19,1,1,0,0,0
-64489.618,-1214920,-1214920,0,17,0,24,0,0,19,1,1,0,0,0
-155009.52,-155009.52,-155009.52,0,30,0,20,0,0,19,1,2,0,0,0
5003.71,5003.71,5003.71,0,30,0,26,0,0,19,1,2,0,0,0
7473.16,7473.16,7473.16,1,30,0,23,0,0,19,1,2,0,0,0
-197479155.8,-197479155.8,-197479155.8,1,30,0,35,0,0,19,1,2,0,0,0
219668.97,219668.97,219668.97,1,30,0,13,0,0,19,1,2,0,0,0
-1747368651,-1747368651,-1747368651,0,30,0,12,0,0,19,1,3,0,0,1
0,0,0,0,0,0,12,3,1,12,3,3,0,0,0
-1181.024,-965.91,-965.91,1,11,0,12,0,2,11,3,3,1,0,0
-72.091,-58.96,-58.96,1,11,0,12,0,2,11,3,3,1,0,0
12351.614,10032.99,10032.99,1,11,0,12,1,0,3,3,3,1,0,0
2528.827,2054.12,2054.12,1,11,0,12,1,0,3,3,3,1,0,0
-819958.62,-819958.62,-819958.62,0,30,0,13,0,0,19,1,1,0,0,0
-142.541,-963.14,-963.14,1,5,0,6,0,0,19,1,1,0,0,0
286478.339,264449.681,265295.92,1,3,1,23,0,0,19,3,3,0,0,1
76637.167,6278500,6278500,0,13,0,16,0,0,19,1,1,0,0,0
2555.344,3409.72,3409.72,1,2,0,4,0,0,19,1,1,0,0,0
-216845.69,-216845.69,-216845.69,0,30,0,35,0,0,19,1,1,0,0,0
-49662.93,-935600,-935600,0,17,0,24,0,0,19,1,1,0,0,0
1056990.062,589167500,589167500,0,6,0,7,0,0,19,1,3,0,0,0
0,0,0,1,30,0,36,2,3,4,1,3,1,0,0
0,0,0,1,30,0,36,2,3,9,1,3,1,0,0
75243.077,1764612500,75250,1,30,0,36,2,3,25,1,3,1,0,0
75243.077,1764612500,75250,1,30,0,36,2,3,21,1,3,1,0,0
0,0,0,1,30,0,36,2,3,18,1,3,1,0,0
0,0,0,1,30,0,36,2,3,20,1,3,1,0,0
-950447.13,-950447.13,-950447.13,0,30,0,12,0,0,19,1,2,0,0,0
-25.76,-25.76,-25.76,0,30,0,35,0,0,19,1,2,0,0,0
-27312500,-27312500,-27312500,0,30,0,35,0,3,7,1,2,0,0,0
31805.72,31805.72,31805.72,0,30,0,24,0,0,19,1,2,0,0,0
-31.55,-31.55,-31.55,1,30,0,12,0,0,19,1,2,0,0,0
-216311427.4,-216311427.4,-216311427.4,0,30,0,3,0,0,19,1,2,0,0,0
149106.28,149106.28,149106.28,1,30,0,15,3,1,19,1,2,0,0,0
581262.48,581262.48,581262.48,0,30,0,24,0,0,19,1,2,0,0,0
0,0,0,1,8,0,12,0,3,6,3,3,1,0,0
-1820.29,-1478.59,-12454.54,1,8,0,12,2,2,11,3,3,1,0,0
0,0,0,0,31,1,12,3,1,12,3,3,0,1,1
0,0,0,0,21,1,12,3,1,12,3,3,0,1,1
0,0,0,1,30,0,32,0,3,6,3,3,1,0,0
-1570.83,-4778.936,-1570.83,1,30,0,32,0,2,11,3,3,1,0,0
1570.83,4778.936,1570.83,1,30,0,32,1,0,3,3,3,1,0,0
13000000,39549900,13000000,1,30,0,32,0,0,19,3,3,1,0,0
